## blobtools v1.0
## assembly	: /home/amir/gasp/celera_assemblies/404.mer22.scf.fasta
## coverage	: bam0 - /home/amir/gasp/mapping/404_celera_22.bam
## taxonomy	: tax0 - /home/amir/gasp/blast/404_celera_22.txt
## nodesDB	: /home/amir/gasp/blobtools/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
scf7180000027426	7138	0.3714	0	27.214	Ascomycota	13149.0	0
scf7180000027427	13739	0.375	40	25.082	Ascomycota	12877.0	0
scf7180000027428	4868	0.372	0	43.158	Ascomycota	8990.0	0
scf7180000027429	13528	0.385	80	29.357	Ascomycota	11771.0	0
scf7180000027430	4323	0.3639	0	51.901	Ascomycota	7984.0	0
scf7180000027431	25188	0.3663	100	24.852	Ascomycota	15642.0	0
scf7180000027432	12744	0.3626	40	25.672	Ascomycota	14144.0	0
scf7180000027433	15896	0.4047	120	32.91	Ascomycota	9978.0	0
scf7180000027434	1926	0.3406	0	39.101	Ascomycota	3557.0	0
scf7180000027435	11049	0.3724	40	32.913	Ascomycota	10231.0	0
scf7180000027436	11610	0.385	40	29.164	Ascomycota	13221.0	0
scf7180000027437	12967	0.3861	60	28.872	Ascomycota	11827.0	0
scf7180000027438	17193	0.3853	100	28.296	Ascomycota	11380.0	0
scf7180000027439	5656	0.3874	0	32.443	Ascomycota	10418.0	0
scf7180000027440	5181	0.3885	0	34.907	Ascomycota	9563.0	0
scf7180000027441	27015	0.3882	140	29.142	Ascomycota	16089.0	0
scf7180000027442	1182	0.4188	0	34.247	Ascomycota	2183.0	0
scf7180000027443	6754	0.3821	0	28.784	Ascomycota	12445.0	0
scf7180000027444	6991	0.3671	20	31.379	Ascomycota	10436.0	0
scf7180000027445	14339	0.3922	120	32.492	Ascomycota	15668.0	0
scf7180000027446	17880	0.3869	60	31.429	Ascomycota	18004.0	0
scf7180000027447	2761	0.3477	0	91.871	Ascomycota	5088.0	0
scf7180000027448	6296	0.3966	0	27.898	Ascomycota	11627.0	0
scf7180000027449	11832	0.4084	80	32.61	Ascomycota	9341.0	0
scf7180000027450	6047	0.3684	0	30.16	Ascomycota	11156.0	0
scf7180000027451	5007	0.3793	0	35.482	Ascomycota	9241.0	0
scf7180000027452	16125	0.3821	160	30.994	Ascomycota	8508.0	0
scf7180000027453	6805	0.3761	20	36.706	Ascomycota	8911.0	0
scf7180000027454	8636	0.3845	20	29.131	Ascomycota	15865.0	0
scf7180000027455	20968	0.3909	120	46.026	Ascomycota	11106.0	0
scf7180000027456	4364	0.3936	20	33.603	Ascomycota	5954.0	0
scf7180000027457	7277	0.4421	20	40.724	Ascomycota	7808.0	0
scf7180000027458	6802	0.3829	20	29.275	Ascomycota	10469.0	0
scf7180000027459	7807	0.4078	40	27.944	Ascomycota	11603.0	0
scf7180000027460	5502	0.3635	0	28.406	Ascomycota	10122.0	0
scf7180000027461	11438	0.3835	60	27.198	Ascomycota	10693.0	0
scf7180000027462	10542	0.401	40	34.792	Ascomycota	10370.0	0
scf7180000027463	2158	0.3865	0	76.261	Ascomycota	3982.0	0
scf7180000027464	17488	0.3749	60	30.704	Ascomycota	13718.0	0
scf7180000027465	1013	0.382	0	37.927	Ascomycota	1871.0	0
scf7180000027466	4083	0.3426	40	29.105	Ascomycota	4305.0	0
scf7180000027467	3598	0.3963	0	50.184	Ascomycota	6628.0	0
scf7180000027468	10050	0.3775	20	31.924	Ascomycota	10408.0	0
scf7180000027469	24917	0.376	140	36.852	Ascomycota	15653.0	0
scf7180000027470	25506	0.3766	180	29.591	Ascomycota	12019.0	0
scf7180000027471	1383	0.3717	0	39.423	Ascomycota	2532.0	0
scf7180000027472	7234	0.397	20	49.728	Ascomycota	13215.0	0
scf7180000027473	18747	0.3759	120	32.717	Ascomycota	13841.0	0
scf7180000027474	11328	0.3771	80	43.04	Ascomycota	11998.0	0
scf7180000027475	23563	0.3797	120	33.967	Ascomycota	17586.0	0
scf7180000027476	9995	0.3689	20	33.429	Ascomycota	9190.0	0
scf7180000027477	7011	0.37	20	35.376	Ascomycota	12794.0	0
scf7180000027478	31142	0.3883	180	44.706	Ascomycota	20868.0	0
scf7180000027479	18544	0.3782	120	31.58	Ascomycota	10813.0	0
scf7180000027480	4719	0.3869	0	31.538	Ascomycota	8687.0	0
scf7180000027481	6268	0.3706	40	29.733	Ascomycota	9171.0	0
scf7180000027482	11530	0.3707	60	29.509	Ascomycota	11734.0	0
scf7180000027483	5996	0.38	20	36.021	Ascomycota	10979.0	0
scf7180000027484	4693	0.3737	0	33.577	Ascomycota	8667.0	0
scf7180000027485	9417	0.3762	40	36.386	Ascomycota	8070.0	0
scf7180000027486	10004	0.3931	40	28.533	Ascomycota	9736.0	0
scf7180000027487	5986	0.3565	0	24.119	Ascomycota	11020.0	0
scf7180000027488	7858	0.3915	40	29.018	Ascomycota	10013.0	0
scf7180000027489	32045	0.3841	260	34.382	Ascomycota	17664.0	0
scf7180000027490	5096	0.3797	0	28.057	Ascomycota	9400.0	0
scf7180000027491	4567	0.4068	0	31.806	Ascomycota	8395.0	0
scf7180000027492	7763	0.3843	20	27.601	Ascomycota	9160.0	0
scf7180000027493	7532	0.3745	40	28.966	Ascomycota	9575.0	0
scf7180000027494	6642	0.3562	20	31.268	Ascomycota	9258.0	0
scf7180000027495	9762	0.3991	40	33.531	Ascomycota	9204.0	0
scf7180000027496	14924	0.3676	160	40.905	Ascomycota	13101.0	0
scf7180000027497	6458	0.3959	20	29.184	Ascomycota	9094.0	0
scf7180000027498	6302	0.3814	20	29.085	Ascomycota	9193.0	0
scf7180000027499	5728	0.3973	20	43.851	Ascomycota	6722.0	0
scf7180000027500	9076	0.3731	20	26.488	Ascomycota	9755.0	0
scf7180000027501	4107	0.4142	0	39.026	Ascomycota	7557.0	0
scf7180000027502	7195	0.3688	20	31.031	Ascomycota	9047.0	0
scf7180000027503	9700	0.378	60	28.72	Ascomycota	8556.0	0
scf7180000027504	11864	0.417	100	34.908	Ascomycota	7504.0	0
scf7180000027505	5653	0.3884	20	31.261	Ascomycota	7986.0	0
scf7180000027506	4938	0.3924	20	38.521	Ascomycota	9001.0	0
scf7180000027507	11883	0.4053	40	42.17	Ascomycota	13062.0	0
scf7180000027508	13347	0.4016	80	31.279	Ascomycota	11285.0	0
scf7180000027509	6360	0.3768	20	32.798	Ascomycota	8135.0	0
scf7180000027510	8509	0.3873	20	30.323	Ascomycota	15625.0	0
scf7180000027511	16778	0.3736	80	30.819	Ascomycota	15186.0	0
scf7180000027512	5517	0.3962	20	35.202	Ascomycota	7987.0	0
scf7180000027513	12414	0.3802	80	29.403	Ascomycota	9555.0	0
scf7180000027514	4679	0.3668	20	41.6	Ascomycota	6296.0	0
scf7180000027515	5643	0.3827	20	31.793	Ascomycota	7396.0	0
scf7180000027516	3903	0.35	20	40.038	Ascomycota	6253.0	0
scf7180000027517	19488	0.4098	100	32.872	Ascomycota	12894.0	0
scf7180000027518	7572	0.3729	20	33.483	Ascomycota	13756.0	0
scf7180000027519	10288	0.4019	40	31.03	Ascomycota	10739.0	0
scf7180000027520	6162	0.3724	20	26.999	Ascomycota	8672.0	0
scf7180000027521	14478	0.3738	100	31.333	Ascomycota	8163.0	0
scf7180000027522	3839	0.4157	0	35.128	Ascomycota	7073.0	0
scf7180000027523	4886	0.3606	0	27.512	Ascomycota	9023.0	0
scf7180000027524	10124	0.3856	40	35.236	Ascomycota	13703.0	0
scf7180000027525	4057	0.4003	0	36.317	Ascomycota	7487.0	0
scf7180000027526	4189	0.424	0	35.082	Ascomycota	7720.0	0
scf7180000027527	5879	0.3762	20	29.811	Ascomycota	8817.0	0
scf7180000027528	3902	0.3503	0	30.395	Ascomycota	4983.0	0
scf7180000027529	3982	0.3945	0	36.395	Ascomycota	7354.0	0
scf7180000027530	5702	0.3591	40	40.82	Ascomycota	8359.0	0
scf7180000027531	11846	0.3573	40	28.961	Ascomycota	8239.0	0
scf7180000027532	35474	0.3736	240	29.225	Ascomycota	20402.0	0
scf7180000027533	3931	0.3912	0	34.034	Ascomycota	7260.0	0
scf7180000027534	5575	0.4074	20	27.385	Ascomycota	10176.0	0
scf7180000027535	4730	0.3877	0	25.554	Ascomycota	8730.0	0
scf7180000027536	6717	0.3756	40	41.936	Ascomycota	12133.0	0
scf7180000027537	3051	0.3409	0	42.609	Ascomycota	5635.0	0
scf7180000027538	6770	0.3884	20	28.299	Ascomycota	12419.0	0
scf7180000027539	17047	0.383	80	32.238	Ascomycota	14663.0	0
scf7180000027540	7380	0.3846	20	32.588	Ascomycota	13514.0	0
scf7180000027541	6090	0.4524	20	34.857	Ascomycota	11140.0	0
scf7180000027542	8788	0.3859	40	34.858	Ascomycota	6754.0	0
scf7180000027543	15850	0.3599	100	35.446	Ascomycota	10220.0	0
scf7180000027544	8277	0.3804	40	33.056	Ascomycota	7598.0	0
scf7180000027545	6803	0.3658	20	34.719	Ascomycota	7239.0	0
scf7180000027546	10092	0.3906	40	37.438	Ascomycota	8866.0	0
scf7180000027547	12288	0.3905	60	42.68	Ascomycota	12456.0	0
scf7180000027548	5880	0.3534	20	24.652	Ascomycota	8549.0	0
scf7180000027549	5833	0.3893	20	33.905	Ascomycota	7289.0	0
scf7180000027550	22497	0.374	200	36.32	Ascomycota	12244.0	0
scf7180000027551	4466	0.4037	0	28.48	Ascomycota	8226.0	0
scf7180000027552	1152	0.3359	0	61.499	Ascomycota	2128.0	0
scf7180000027553	5806	0.3681	20	35.324	Ascomycota	6645.0	0
scf7180000027554	3988	0.3852	0	32.704	Ascomycota	7365.0	0
scf7180000027555	10812	0.3846	80	27.58	Ascomycota	8259.0	0
scf7180000027556	5439	0.3753	20	27.311	Ascomycota	9943.0	0
scf7180000027557	4447	0.3778	0	28.275	Ascomycota	8207.0	0
scf7180000027558	7528	0.4014	60	27.901	Ascomycota	8011.0	0
scf7180000027559	14855	0.384	80	32.902	Ascomycota	13188.0	0
scf7180000027560	9008	0.3904	60	31.325	Ascomycota	8746.0	0
scf7180000027561	4070	0.3803	0	30.207	Ascomycota	7483.0	0
scf7180000027562	19590	0.3741	100	31.189	Ascomycota	22532.0	0
scf7180000027563	4401	0.3642	0	26.278	Ascomycota	8122.0	0
scf7180000027564	5011	0.3641	20	44.402	Ascomycota	9118.0	0
scf7180000027565	2624	0.3861	0	72.391	Ascomycota	4841.0	0
scf7180000027566	19639	0.3893	140	28.091	Ascomycota	10399.0	0
scf7180000027567	10154	0.4118	40	28.098	Ascomycota	16220.0	0
scf7180000027568	4334	0.3902	0	27.907	Ascomycota	7998.0	0
scf7180000027569	23290	0.3834	1441	29.088	Ascomycota	16175.0	0
scf7180000027570	4102	0.3652	0	31.218	Ascomycota	7576.0	0
scf7180000027571	3191	0.4193	0	41.734	Ascomycota	5893.0	0
scf7180000027572	7616	0.4198	20	32.259	Ascomycota	7324.0	0
scf7180000027573	6030	0.3882	20	32.637	Ascomycota	10964.0	0
scf7180000027574	3954	0.3713	0	29.559	Ascomycota	7302.0	0
scf7180000027575	4093	0.3975	0	30.013	Ascomycota	7553.0	0
scf7180000027576	5111	0.3627	0	23.442	Ascomycota	9422.0	0
scf7180000027577	3468	0.408	0	36.575	Ascomycota	6383.0	0
scf7180000027578	7485	0.3799	60	35.74	Ascomycota	6023.0	0
scf7180000027579	3076	0.3862	0	46.945	Ascomycota	5670.0	0
scf7180000027580	6185	0.3751	40	35.07	Ascomycota	6623.0	0
scf7180000027581	3780	0.3868	0	30.941	Ascomycota	6981.0	0
scf7180000027582	13008	0.4001	60	29.295	Ascomycota	23693.0	0
scf7180000027583	9548	0.3791	80	33.607	Ascomycota	8070.0	0
scf7180000027584	5425	0.3662	40	28.976	Ascomycota	7409.0	0
scf7180000027585	19789	0.3822	80	38.434	Ascomycota	19647.0	0
scf7180000027586	8059	0.3769	20	37.067	Ascomycota	8104.0	0
scf7180000027587	5413	0.3751	20	34.115	Ascomycota	6689.0	0
scf7180000027588	10634	0.3925	60	27.724	Ascomycota	8117.0	0
scf7180000027589	3451	0.3816	0	33.514	Ascomycota	6373.0	0
scf7180000027590	3104	0.3785	0	43.67	Ascomycota	5733.0	0
scf7180000027591	22550	0.3906	120	31.92	Ascomycota	11767.0	0
scf7180000027592	7467	0.384	40	29.605	Ascomycota	7184.0	0
scf7180000027593	13245	0.3882	120	28.278	Ascomycota	13441.0	0
scf7180000027594	2998	0.3963	0	45.622	Ascomycota	5537.0	0
scf7180000027595	6938	0.3917	20	32.819	Ascomycota	12632.0	0
scf7180000027596	11090	0.3816	80	27.949	Ascomycota	8107.0	0
scf7180000027597	8696	0.3837	40	31.612	Ascomycota	8106.0	0
scf7180000027598	15635	0.3638	80	39.587	Ascomycota	17093.0	0
scf7180000027599	5301	0.3721	20	28.679	Ascomycota	7546.0	0
scf7180000027600	3699	0.3771	0	29.247	Ascomycota	6815.0	0
scf7180000027601	13792	0.3674	40	27.919	Ascomycota	9540.0	0
scf7180000027602	4856	0.3587	0	21.343	Ascomycota	8957.0	0
scf7180000027603	18306	0.3772	180	27.831	Ascomycota	18353.0	0
scf7180000027604	9235	0.3612	40	27.557	Ascomycota	16879.0	0
scf7180000027605	5924	0.3659	20	26.809	Ascomycota	7974.0	0
scf7180000027606	8451	0.3602	40	79.227	Ascomycota	8737.0	0
scf7180000027607	4655	0.383	20	33.031	Ascomycota	6665.0	0
scf7180000027608	24308	0.3815	100	30.506	Ascomycota	12966.0	0
scf7180000027609	39359	0.3822	260	29.054	Ascomycota	16037.0	0
scf7180000027610	3290	0.4128	0	34.188	Ascomycota	6013.0	0
scf7180000027611	32943	0.3783	240	28.931	Ascomycota	8656.0	0
scf7180000027612	12908	0.3623	80	25.975	Ascomycota	8767.0	0
scf7180000027613	12791	0.416	40	33.293	Ascomycota	9467.0	0
scf7180000027614	3123	0.3778	0	37.927	Ascomycota	5768.0	0
scf7180000027615	12116	0.3894	60	23.487	Ascomycota	8776.0	0
scf7180000027616	5451	0.3865	20	30.164	Ascomycota	9989.0	0
scf7180000027617	20236	0.3744	160	30.532	Ascomycota	14536.0	0
scf7180000027618	9842	0.3952	60	41.204	Ascomycota	12955.0	0
scf7180000027619	3595	0.3925	0	28.053	Ascomycota	6634.0	0
scf7180000027620	4923	0.4026	20	35.218	Ascomycota	5880.0	0
scf7180000027621	18674	0.3705	180	32.773	Ascomycota	13383.0	0
scf7180000027622	3507	0.3858	0	31.337	Ascomycota	6471.0	0
scf7180000027623	3575	0.3745	0	30.881	Ascomycota	6586.0	0
scf7180000027624	10030	0.3967	20	36.251	Ascomycota	13073.0	0
scf7180000027625	3286	0.3688	0	34.404	Ascomycota	6063.0	0
scf7180000027626	8979	0.3914	60	32.215	Ascomycota	6564.0	0
scf7180000027627	8035	0.3732	60	29.438	Ascomycota	6861.0	0
scf7180000027628	4572	0.3629	0	25.096	Ascomycota	8438.0	0
scf7180000027629	7647	0.3597	40	33.02	Ascomycota	6447.0	0
scf7180000027630	4953	0.3908	20	42.522	Ascomycota	9009.0	0
scf7180000027631	28861	0.374	160	32.222	Ascomycota	17629.0	0
scf7180000027632	2729	0.3833	0	43.752	Ascomycota	5040.0	0
scf7180000027633	8779	0.3713	40	27.216	Ascomycota	9539.0	0
scf7180000027634	5957	0.3781	40	24.139	Ascomycota	7934.0	0
scf7180000027635	9269	0.3793	40	43.286	Ascomycota	11841.0	0
scf7180000027636	9808	0.3549	80	35.772	Ascomycota	6879.0	0
scf7180000027637	3078	0.3947	0	41.821	Ascomycota	5685.0	0
scf7180000027638	7006	0.3728	40	23.344	Ascomycota	7659.0	0
scf7180000027639	20234	0.3815	160	29.254	Ascomycota	6748.0	0
scf7180000027640	6146	0.3689	80	42.805	Ascomycota	6172.0	0
scf7180000027641	6316	0.3807	20	32.156	Ascomycota	6357.0	0
scf7180000027642	20039	0.3855	140	28.11	Ascomycota	10041.0	0
scf7180000027643	12139	0.3733	80	37.976	Ascomycota	14419.0	0
scf7180000027644	4104	0.3668	20	78.405	Ascomycota	5644.0	0
scf7180000027645	10663	0.3646	60	22.183	Ascomycota	8274.0	0
scf7180000027646	1800	0.4072	0	24.281	Ascomycota	3238.0	0
scf7180000027647	17251	0.3935	180	31.91	Ascomycota	7280.0	0
scf7180000027648	3154	0.3928	0	35.717	Ascomycota	5814.0	0
scf7180000027649	3648	0.3975	0	28.154	Ascomycota	6737.0	0
scf7180000027650	4767	0.379	20	29.304	Ascomycota	6499.0	0
scf7180000027651	3046	0.3733	0	32.611	Ascomycota	5626.0	0
scf7180000027652	3198	0.3899	0	33.647	Ascomycota	5906.0	0
scf7180000027653	3624	0.3518	0	27.87	Ascomycota	6687.0	0
scf7180000027654	5226	0.3988	20	26.273	Ascomycota	7060.0	0
scf7180000027655	3016	0.4065	0	40.246	Ascomycota	5565.0	0
scf7180000027656	3987	0.3622	0	26.429	Ascomycota	7358.0	0
scf7180000027657	3721	0.4063	0	27.42	Ascomycota	6722.0	0
scf7180000027658	41037	0.3836	220	33.759	Ascomycota	29689.0	0
scf7180000027659	19915	0.3807	60	38.817	Ascomycota	22144.0	0
scf7180000027660	3801	0.4304	0	24.991	Ascomycota	7009.0	0
scf7180000027661	11252	0.3527	60	25.304	Ascomycota	12558.0	0
scf7180000027662	7831	0.3514	80	24.813	Ascomycota	7522.0	0
scf7180000027663	10422	0.4038	40	33.514	Ascomycota	12955.0	0
scf7180000027664	5143	0.379	40	32.702	Ascomycota	5461.0	0
scf7180000027665	10753	0.362	80	25.582	Ascomycota	7186.0	0
scf7180000027666	9677	0.3866	60	36.517	Ascomycota	9821.0	0
scf7180000027667	2962	0.3852	0	34.099	Ascomycota	5465.0	0
scf7180000027668	3330	0.4273	0	37.185	Ascomycota	6144.0	0
scf7180000027669	6396	0.3783	60	30.771	Ascomycota	6427.0	0
scf7180000027670	2576	0.3738	0	38.462	Ascomycota	4758.0	0
scf7180000027671	5483	0.4316	20	31.781	Ascomycota	10024.0	0
scf7180000027672	5904	0.3943	40	32.879	Ascomycota	8623.0	0
scf7180000027673	3332	0.3794	0	28.95	Ascomycota	6154.0	0
scf7180000027674	3599	0.3873	0	27.935	Ascomycota	6636.0	0
scf7180000027675	2973	0.3885	0	35.253	Ascomycota	5480.0	0
scf7180000027676	15489	0.3562	120	30.584	Ascomycota	13180.0	0
scf7180000027677	3163	0.4126	0	29.615	Ascomycota	5842.0	0
scf7180000027678	7417	0.3749	60	26.565	Ascomycota	10885.0	0
scf7180000027679	20994	0.3854	120	36.357	Ascomycota	27366.0	0
scf7180000027680	11953	0.3745	40	29.816	Ascomycota	8674.0	0
scf7180000027681	5537	0.4049	20	30.752	Ascomycota	10141.0	0
scf7180000027682	8384	0.4399	60	37.772	Ascomycota	11550.0	0
scf7180000027683	2282	0.3843	0	46.373	Ascomycota	4209.0	0
scf7180000027684	14063	0.3848	80	29.468	Ascomycota	15106.0	0
scf7180000027685	2544	0.3809	0	45.501	Ascomycota	4698.0	0
scf7180000027686	5909	0.3713	40	26.982	Ascomycota	6237.0	0
scf7180000027687	3348	0.3823	0	30.122	Ascomycota	6178.0	0
scf7180000027688	16505	0.3885	120	30.46	Ascomycota	16565.0	0
scf7180000027689	17860	0.3718	160	29.176	Ascomycota	8674.0	0
scf7180000027690	31815	0.3702	180	34.188	Ascomycota	20759.0	0
scf7180000027691	5022	0.4236	20	39.99	Ascomycota	4868.0	0
scf7180000027692	6809	0.3956	40	31.195	Ascomycota	5132.0	0
scf7180000027693	4275	0.3638	20	27.297	Ascomycota	7762.0	0
scf7180000027694	8917	0.3564	60	36.388	Ascomycota	5518.0	0
scf7180000027695	7309	0.4001	40	29.121	Ascomycota	6364.0	0
scf7180000027696	2706	0.4065	0	37.438	Ascomycota	4998.0	0
scf7180000027697	1527	0.3916	0	42.773	Ascomycota	2549.0	0
scf7180000027698	3228	0.3891	0	27.542	Ascomycota	5962.0	0
scf7180000027699	3766	0.3964	0	25.792	Ascomycota	6922.0	0
scf7180000027700	13677	0.3677	100	37.513	Ascomycota	7657.0	0
scf7180000027701	2760	0.408	0	40.363	Ascomycota	5092.0	0
scf7180000027702	3312	0.4179	0	28.896	Ascomycota	6117.0	0
scf7180000027703	6403	0.3879	40	29.806	Ascomycota	5873.0	0
scf7180000027704	14101	0.3883	80	31.081	Ascomycota	7310.0	0
scf7180000027705	3082	0.3994	0	29.762	Ascomycota	5686.0	0
scf7180000027706	4538	0.3628	20	28.493	Ascomycota	5626.0	0
scf7180000027707	10516	0.3804	60	27.956	Ascomycota	7297.0	0
scf7180000027708	10519	0.3689	20	27.352	Ascomycota	13319.0	0
scf7180000027709	2945	0.4024	0	33.935	Ascomycota	5428.0	0
scf7180000027710	10631	0.4198	120	33.819	Ascomycota	9435.0	0
scf7180000027711	2797	0.3783	0	34.836	Ascomycota	5166.0	0
scf7180000027712	10382	0.3768	80	32.013	Ascomycota	11031.0	0
scf7180000027713	3294	0.3673	0	26.448	Ascomycota	6083.0	0
scf7180000027714	22675	0.4122	180	37.806	Ascomycota	11441.0	0
scf7180000027715	7375	0.3427	40	26.706	Ascomycota	6002.0	0
scf7180000027716	2861	0.4072	0	33.163	Ascomycota	5284.0	0
scf7180000027717	4565	0.3652	20	28.675	Ascomycota	6048.0	0
scf7180000027718	11856	0.383	40	31.686	Ascomycota	13108.0	0
scf7180000027719	3025	0.3821	0	30.072	Ascomycota	5587.0	0
scf7180000027720	10529	0.3762	60	29.186	Ascomycota	13974.0	0
scf7180000027721	11720	0.3707	80	30.985	Ascomycota	12999.0	0
scf7180000027722	8237	0.3732	40	31.682	Ascomycota	9419.0	0
scf7180000027723	2637	0.394	0	34.801	Ascomycota	4859.0	0
scf7180000027724	17011	0.3752	140	28.547	Ascomycota	24489.0	0
scf7180000027725	21749	0.3826	140	34.364	Ascomycota	15511.0	0
scf7180000027726	8052	0.3745	100	33.984	Ascomycota	4650.0	0
scf7180000027727	3728	0.3691	0	24.602	Ascomycota	6879.0	0
scf7180000027728	24348	0.3744	160	26.975	Ascomycota	12953.0	0
scf7180000027729	22460	0.3913	180	37.825	Ascomycota	20199.0	0
scf7180000027730	2739	0.3899	0	34.13	Ascomycota	5059.0	0
scf7180000027731	6658	0.3989	20	27.958	Ascomycota	12196.0	0
